"","prix","surface"
"1",325000,101
"4",299000,79
"5",491400,148
"6",195000,41
"8",445000,87
"9",240000,50
"10",310000,60
"13",194000,65
"14",230000,53
"16",538000,83
"18",634077,128
"19",665000,114
"20",152000,35
"23",4e+05,68
"24",535000,110
"26",544000,95
"27",454500,90
"30",172000,41
"32",399500,99
"36",450000,95
"38",206000,25
"39",458850,37
"40",458850,12
"41",458850,44
"42",458850,63
"43",330000,82
"45",640000,122
"47",410000,76
"49",590000,137
"50",665000,180
"51",220000,47
"55",3e+05,54
"56",520000,104
"60",595000,141
"61",260000,25
"62",490000,80
"63",453500,90
"64",117000,22
"65",590000,108
"66",430000,106
"67",250000,63
"69",155500,50
"71",540000,99
"72",560145,126
"73",495000,127
"74",498590,160
"75",265000,56
"78",510000,113
"79",95000,26
"81",464000,115
"82",550900,123
"83",294400,48
"85",167350,34
"87",163500,43
