id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2024-499107";"2024-05-16";"1";"Vente";"325000.0";"1.0";"None";"MAIL DU MANOIR";"3099";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0363";"None";"None";"44";"100.83";"79";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"101.0";"4.0";"None";"None";"None";"None";"nan";"2.210926";"48.704423";"000BV"
"2024-499107";"2024-05-16";"1";"Vente";"325000.0";"9001.0";"None";"MAIL DU MANOIR";"3099";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0363";"None";"None";"89";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.210926";"48.704423";"000BV"
"2024-499107";"2024-05-16";"1";"Vente";"325000.0";"1.0";"None";"MAIL DU MANOIR";"3099";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0363";"None";"None";"44";"100.83";"79";"nan";"None";"None";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.210926";"48.704423";"000BV"
"2024-496226";"2024-03-18";"1";"Vente";"299000.0";"19.0";"None";"RUE CHARLES PEGUY";"0930";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0014";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"79.0";"3.0";"S";"sols";"None";"None";"472.0";"2.216721";"48.704736";"000BV"
"2024-496697";"2024-03-12";"1";"Vente";"491400.0";"60.0";"B";"RUE DU MOULIN";"3490";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0083";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"148.0";"4.0";"S";"sols";"None";"None";"590.0";"2.210835";"48.703559";"000BV"
"2024-493921";"2024-01-03";"1";"Vente";"195000.0";"20.0";"None";"RUE DES PEUPLIERS";"3980";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0197";"None";"None";"13";"41.45";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"2.216837";"48.702265";"000BV"
"2024-493921";"2024-01-03";"1";"Vente";"195000.0";"20.0";"None";"RUE DES PEUPLIERS";"3980";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0197";"None";"None";"25";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.216837";"48.702265";"000BV"
"2023-1217206";"2023-10-09";"1";"Vente";"445000.0";"19.0";"None";"RUE DES PEUPLIERS";"3980";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0185";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"87.0";"4.0";"S";"sols";"None";"None";"325.0";"2.217222";"48.702593";"000BV"
"2023-1214476";"2023-07-28";"1";"Vente";"240000.0";"nan";"None";"RUE DES PECHEURS";"3940";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0327";"None";"None";"2";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"50.0";"2.0";"None";"None";"None";"None";"nan";"2.210316";"48.702603";"000BV"
"2023-1214481";"2023-07-28";"1";"Vente";"310000.0";"nan";"None";"RUE DES PECHEURS";"3940";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0327";"None";"None";"1";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.210316";"48.702603";"000BV"
"2023-1214481";"2023-07-28";"1";"Vente";"310000.0";"nan";"None";"RUE DES PECHEURS";"3940";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0327";"None";"None";"1";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"2.210316";"48.702603";"000BV"
"2023-1207316";"2023-03-15";"1";"Vente";"330000.0";"nan";"None";"RUE CHARLES PEGUY";"0930";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0439";"None";"None";"None";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"351.0";"2.216709";"48.704231";"000BV"
"2023-1206638";"2023-03-07";"1";"Vente";"194000.0";"6.0";"None";"RUE CHARLES PEGUY";"0930";"91120";"91477";"Palaiseau";"91";"None";"None";"91477000BV0058";"None";"None";"5";"65.86";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"65.0";"0.0";"None";"None";"None";"None";"nan";"2.212361";"48.70566";"000BV"
